,en,ru
Tunings,Tunings,Гитарные строи
Features,Features,Возможности
Handedness,Handedness,Ведущая рука
Tuning,Tuning,Строй гитары
Strings,Strings,Количество струн
six-string guitar,six-string guitar,гитара (6 струн)
Metronome,Metronome,Метроном
Notes,Notes,Отображение нот
Fretboard color,Fretboard color,Цвет накладки
Circle of fifths,Circle of fifths,Кварто-квинтовый круг
Major:,Major:,Мажор:
Minor:,Minor:,Минор:
Language,Language,Язык
Feedback,Feedback,Обратная связь
Contact support,Contact support,Поддержка
Report a bug,Report a bug,Нашли ошибку?
Request a feature,Request a feature,Предложить идею
Leave a feedback,Leave a feedback,Оставить отзыв
Donate,Donate,Пожертвовать
chords,chords,аккорды
scales,scales,лады
Saved,Saved,Избранное
none,none,пустой
chromatic,chromatic,хроматич.
major,major,мажорный
minor,minor,минорный
maj pentatonic,maj pentatonic,маж. пент.
min pentatonic,min pentatonic,мин. пент.
ionian,ionian,ионийский
dorian,dorian,дорийский
phrygian,phrygian,фригийский
lydian,lydian,лидийский
mixolydian,mixolydian,миксолид.
aeolian,aeolian,эолийский
locrian,locrian,локрийский
melodic min,melodic min,мелод. мин.
harmonic min,harmonic min,гармон. мин.
maj blues,maj blues,маж. блюз.
min blues,min blues,мин. блюз.
maj,maj,мажор
min,min,минор
aug,aug,увелич.
dim,dim,уменьш.
Do,Do,До
Do#,Do#,До#
Re,Re,Ре
Re#,Re#,Ре#
Mi,Mi,Ми
Fa,Fa,Фа
Fa#,Fa#,Фа#
Sol,Sol,Соль
Sol#,Sol#,Соль#
La,La,Ля
La#,La#,Ля#
Si,Si,Си